1,9,2021-05-01,2021-12-01
2,7,2021-05-02,2021-12-02
3,10,2021-05-03,2021-12-03
4,10,2021-05-04,2021-12-04
5,10,2021-05-05,2021-12-05
6,5,2021-05-06,2021-12-06
7,3,2021-05-07,2021-12-07
8,10,2021-05-08,2021-12-08
9,10,2021-05-09,2021-12-09
10,10,2021-05-10,2021-12-10
11,10,2021-05-11,2021-12-11
12,2,2021-05-12,2021-12-12
13,10,2021-05-13,2021-12-13
14,10,2021-05-14,2021-12-14
15,10,2021-05-15,2021-12-15
16,8,2021-05-16,2021-12-16
17,10,2021-05-17,2021-12-17
18,10,2021-05-18,2021-12-18
19,3,2021-05-19,2021-12-19
20,10,2021-05-20,2021-12-20
21,5,2021-05-21,2021-12-21
22,10,2021-05-22,2021-12-22
23,10,2021-05-23,2021-12-23
24,3,2021-05-24,2021-12-24
25,6,2021-05-25,2021-12-25
26,4,2021-05-26,2021-12-26
27,3,2021-05-27,2021-12-27
28,8,2021-05-28,2021-12-28
29,10,2021-05-29,2021-12-29
30,5,2021-05-30,2021-12-30
31,10,2021-05-31,2021-12-31
32,9,2021-06-01,2022-01-01
33,4,2021-06-02,2022-01-02
34,10,2021-06-03,2022-01-03
35,10,2021-06-04,2022-01-04
36,8,2021-06-05,2022-01-05
37,4,2021-06-06,2022-01-06
38,1,2021-06-07,2022-01-07
39,8,2021-06-08,2022-01-08
40,10,2021-06-09,2022-01-09
41,8,2021-06-10,2022-01-10
42,7,2021-06-11,2022-01-11
43,10,2021-06-12,2022-01-12
44,3,2021-06-13,2022-01-13
45,10,2021-06-14,2022-01-14
46,10,2021-06-15,2022-01-15
47,10,2021-06-16,2022-01-16
48,10,2021-06-17,2022-01-17
49,10,2021-06-18,2022-01-18
50,7,2021-06-19,2022-01-19
51,10,2021-06-20,2022-01-20
52,10,2021-06-21,2022-01-21
53,6,2021-06-22,2022-01-22
54,10,2021-06-23,2022-01-23
55,2,2021-06-24,2022-01-24
56,10,2021-06-25,2022-01-25
57,5,2021-06-26,2022-01-26
58,7,2021-06-27,2022-01-27
59,6,2021-06-28,2022-01-28
60,3,2021-06-29,2022-01-29
61,3,2021-06-30,2022-01-30
62,10,2021-07-01,2022-01-31
63,10,2021-07-02,2022-02-01
64,2,2021-07-03,2022-02-02
65,10,2021-07-04,2022-02-03
66,7,2021-07-05,2022-02-04
67,10,2021-07-06,2022-02-05
68,10,2021-07-07,2022-02-06
69,10,2021-07-08,2022-02-07
70,2,2021-07-09,2022-02-08
71,10,2021-07-10,2022-02-09
72,2,2021-07-11,2022-02-10
73,5,2021-07-12,2022-02-11
74,6,2021-07-13,2022-02-12
75,10,2021-07-14,2022-02-13
76,9,2021-07-15,2022-02-14
77,10,2021-07-16,2022-02-15
78,10,2021-07-17,2022-02-16
79,5,2021-07-18,2022-02-17
80,10,2021-07-19,2022-02-18
81,10,2021-07-20,2022-02-19
82,3,2021-07-21,2022-02-20
83,6,2021-07-22,2022-02-21
84,10,2021-07-23,2022-02-22
85,3,2021-07-24,2022-02-23
86,6,2021-07-25,2022-02-24
87,6,2021-07-26,2022-02-25
88,2,2021-07-27,2022-02-26
89,6,2021-07-28,2022-02-27
90,7,2021-07-29,2022-02-28
91,10,2021-07-30,2022-03-01
92,10,2021-07-31,2022-03-02
93,6,2021-08-01,2022-03-03
94,8,2021-08-02,2022-03-04
95,8,2021-08-03,2022-03-05
96,1,2021-08-04,2022-03-06
97,10,2021-08-05,2022-03-07
98,7,2021-08-06,2022-03-08
99,10,2021-08-07,2022-03-09
100,10,2021-08-08,2022-03-10
